"";"iso2c";"country";"year";"EN.ATM.PM25.MC.M3";"EN.ATM.PM25.MC.ZS";"EG.EGY.PRIM.PP.KD";"EG.FEC.RNEW.ZS";"EG.ELC.RNEW.ZS";"EG.ELC.ACCS.ZS";"EG.CFT.ACCS.ZS";"AG.LND.FRST.ZS";"NY.GDP.TOTL.RT.ZS";"ER.LND.PTLD.ZS";"ER.PTD.TOTL.ZS";"ER.MRN.PTMR.ZS";"EG.ELC.ACCS.UR.ZS";"SH.H2O.BASW.UR.ZS";"SH.STA.BASS.UR.ZS";"EG.ELC.ACCS.RU.ZS";"SH.STA.BASS.RU.ZS";"SH.H2O.BASW.RU.ZS";"ER.H2O.INTR.PC";"SH.H2O.SMDW.ZS";"SH.STA.SMSS.ZS";"iso3c";"region";"capital";"longitude";"latitude";"income";"lending"
"11";"1A";"Arab World";1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"12";"1A";"Arab World";1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"13";"1A";"Arab World";1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"14";"1A";"Arab World";1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1060,52252035938;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"15";"1A";"Arab World";1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"16";"1A";"Arab World";1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"17";"1A";"Arab World";1978;NA;NA;NA;NA;NA;NA;NA;NA;34,5207320125906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"18";"1A";"Arab World";1979;NA;NA;NA;NA;NA;NA;NA;NA;58,9351941993905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"19";"1A";"Arab World";1980;NA;NA;NA;NA;NA;NA;NA;NA;52,3214424831089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"20";"1A";"Arab World";1981;NA;NA;NA;NA;NA;NA;NA;NA;39,1028152028422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"21";"1A";"Arab World";1982;NA;NA;NA;NA;NA;NA;NA;NA;25,5407974553835;NA;NA;NA;NA;NA;NA;NA;NA;NA;681,938727809382;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"22";"1A";"Arab World";1983;NA;NA;NA;NA;NA;NA;NA;NA;25,3525575911744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"23";"1A";"Arab World";1984;NA;NA;NA;NA;NA;NA;NA;NA;24,8120247900638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"24";"1A";"Arab World";1985;NA;NA;NA;NA;NA;NA;NA;NA;21,9458363429942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"25";"1A";"Arab World";1986;NA;NA;NA;NA;NA;NA;NA;NA;14,0044945620466;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"26";"1A";"Arab World";1987;NA;NA;NA;NA;NA;NA;NA;NA;17,8827340598141;NA;NA;NA;NA;NA;NA;NA;NA;NA;588,635652427957;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"27";"1A";"Arab World";1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1217,60449064098;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"28";"1A";"Arab World";1990;53,3002660564708;100;NA;7,34435776652672;7,2415212459437;NA;NA;1,73263354582837;24,4004442499967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"29";"1A";"Arab World";1991;NA;NA;NA;7,28409276608488;6,69071124370349;NA;NA;1,727573625687;20,4518928662104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"30";"1A";"Arab World";2004;NA;NA;NA;6,71828670085492;3,91353009662894;79,5371839854357;78,0944398272737;1,68622014375117;29,4033499021861;NA;NA;NA;93,6012891910451;91,3455282233152;84,8519237533311;64,4712952974475;58,8250529681075;65,0932656316005;NA;NA;46,1422831655033;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"31";"1A";"Arab World";2005;52,3952505918879;100;NA;6,37120528484602;4,47443992179814;80,5747275507832;79,0619995188413;1,68725825529459;36,0743117406768;NA;NA;NA;93,556320556356;91,5719548458432;85,2935009547901;66,6120057048448;59,5522059886143;66,1095600544187;NA;NA;46,7416191982917;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"32";"1A";"Arab World";2006;NA;NA;NA;6,18054287834255;4,11949398886756;84,6212058977181;79,8516810577971;1,6935766543865;36,7548891624484;NA;NA;NA;95,141707186766;91,8251314407079;85,7622973346404;72,367300954777;60,3022763782352;67,1582767304121;NA;NA;47,4049048623813;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"33";"1A";"Arab World";2007;NA;NA;NA;5,60093286542519;4,15021671475071;82,9268784401299;80,5705358855522;1,6999018407442;33,8771398406688;NA;NA;NA;94,9397433177158;92,1631326784786;86,3485957497174;68,8059974382852;60,9463461355941;68,0885633510451;367,807757051197;NA;48,1111686464586;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"34";"1A";"Arab World";2008;NA;NA;NA;5,15366900186311;3,36273904985168;83,6449921024328;81,2108864012014;1,70622771023546;38,2837954735335;NA;NA;NA;95,7129715547285;92,404745234569;86,8131173108319;72,1358310462843;61,7698884916396;69,1990051818833;NA;NA;48,8241979634968;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"35";"1A";"Arab World";2009;NA;NA;NA;5,04951651381919;3,32848576738529;84,270921268469;81,8096301961217;1,71293857999999;24,7185943196463;NA;NA;NA;95,0654375433857;92,6466009135765;87,2697992168422;70,5064610154361;62,5885006810391;70,3109164861985;NA;NA;49,5209378463599;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"36";"1A";"Arab World";2010;53,7870013823058;100;NA;4,83953384252023;3,85400991246685;86,9599909576562;82,368100500358;1,71926949989235;28,443759430196;NA;NA;NA;96,2908655211577;92,8877031783733;87,7182016966739;75,8161600170684;63,3937803505574;71,4293963872164;NA;NA;50,1548329025697;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"37";"1A";"Arab World";1998;NA;NA;NA;6,75747333217786;4,80992967409566;78,302779397663;NA;1,69215494295654;13,1195947225606;NA;NA;NA;NA;NA;NA;62,1120096958889;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"38";"1A";"Arab World";1999;NA;NA;NA;6,74410045580623;4,84638713444539;78,980861204439;NA;1,68709596294663;16,880534978297;NA;NA;NA;NA;NA;NA;63,2617015038852;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"39";"1A";"Arab World";2000;53,0630756716598;100;NA;6,60961837893085;4,46423746968679;78,4793636989698;73,7024952410123;1,68203605181101;26,3579293043867;NA;NA;NA;NA;91,0934324111477;84,3686681500772;61,6263420346245;56,9947061078914;62,5978147796391;NA;NA;45,1365698007385;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"40";"1A";"Arab World";2001;NA;NA;NA;6,42821621818073;4,6175616335242;80,0230468842826;74,9448598519863;1,6830756474866;21,6472168643803;NA;NA;NA;94,5744287719902;91,0103248433408;84,4086549906279;64,9089295447881;57,3356806284078;63,0384740988128;NA;NA;45,2307910316757;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"41";"1A";"Arab World";2002;NA;NA;NA;6,28043705639423;3,75554863125196;77,99911115703;76,258066118796;1,68411431098076;20,9027195122155;NA;NA;NA;93,0228340612088;91,1107317229927;84,5454874220597;66,246450192401;57,7214556233252;63,5487388085313;412,019974085842;NA;45,3760764300206;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"42";"1A";"Arab World";2003;NA;NA;NA;6,38194815786098;3,94350965777264;79,3063105601193;77,1204636192376;1,68517996282904;23,9965093644801;NA;NA;NA;93,3219864236155;91,2244346031335;84,6895651346272;64,8501516908216;58,264358374781;64,311590891106;NA;NA;45,6267714848939;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"43";"1A";"Arab World";1977;NA;NA;NA;NA;NA;NA;NA;NA;38,2503523484893;NA;NA;NA;NA;NA;NA;NA;NA;NA;799,024348288902;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"44";"1A";"Arab World";2018;NA;NA;NA;NA;NA;89,286856223316;NA;NA;22,9812604305822;5,78735181553645;4,89873127236774;1,94880064309303;97,0639592990141;NA;NA;79,2481000553718;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"45";"1A";"Arab World";2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"46";"1A";"Arab World";2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"47";"1A";"Arab World";1972;NA;NA;NA;NA;NA;NA;NA;NA;16,8675147930401;NA;NA;NA;NA;NA;NA;NA;NA;NA;924,716864174924;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"48";"1A";"Arab World";1973;NA;NA;NA;NA;NA;NA;NA;NA;21,9128091112194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"49";"1A";"Arab World";1974;NA;NA;NA;NA;NA;NA;NA;NA;49,0904729526046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"50";"1A";"Arab World";1971;NA;NA;NA;NA;NA;NA;NA;NA;15,080573445232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"51";"1A";"Arab World";1976;NA;NA;NA;NA;NA;NA;NA;NA;39,8146896046454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"52";"1A";"Arab World";2016;58,7649047109991;100;NA;NA;NA;89,3086016965609;84,5101713274267;1,68236125592314;14,2653410709554;5,37798083497847;4,53237253007921;1,77527418091438;97,2900828061159;94,3315266847997;90,310782641877;79,0655079740001;67,7646083560896;77,64623033922;NA;NA;52,9853612902049;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"53";"1A";"Arab World";2017;58,6892586101525;100;NA;NA;NA;90,2836375587196;NA;NA;18,1201055927171;5,78735181553645;4,89873127236774;1,94880064309303;97,4679148475457;94,4244346793422;90,5706943187442;81,1021335972971;67,9196892316858;77,9074057483924;NA;NA;53,3971095814761;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"54";"1A";"Arab World";1975;NA;NA;NA;NA;NA;NA;NA;NA;39,7263389501089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"55";"1A";"Arab World";1988;NA;NA;NA;NA;NA;NA;NA;NA;17,1306126156796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"56";"1A";"Arab World";2011;52,6522786914544;100;NA;4,6971295921337;3,54976563509352;87,1994742750379;82,7832893479895;1,71311268730216;36,3990632941435;NA;NA;NA;96,4664179891354;93,1184243210483;88,1548479715414;75,9588779558478;64,2354369854723;72,5771724306677;NA;NA;50,7191200208085;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"57";"1A";"Arab World";2012;53,2972698457394;100;NA;4,16704503078223;3,48121852231759;87,512260241612;83,1203026921402;1,70695703393974;35,6693111835151;NA;NA;NA;96,4359566152615;93,371890168839;88,6287413738818;77,2517139956187;65,0205842065408;73,670326250201;305,349023794015;NA;51,2251124171992;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"58";"1A";"Arab World";2013;54,0538218491081;100;NA;4,22617691236642;3,77038496124868;88,1298813326297;83,5334567334071;1,70083006507352;32,6729628025065;NA;NA;NA;96,7728530137271;93,6306574694869;89,1094854516766;78,1657063510425;65,7989409185319;74,7567670869595;NA;NA;51,6922770707939;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"59";"1A";"Arab World";1989;NA;NA;NA;NA;NA;NA;NA;NA;24,1772559835609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"60";"1A";"Arab World";2015;60,4068134713159;100;NA;4,09403656576612;2,92070168610513;88,7200973716188;84,1715990242825;1,68851740785711;17,2451713125814;NA;NA;NA;96,9363186082368;94,1535568275951;89,9031457744933;78,2110003775113;67,2425884082222;76,8803610580178;NA;NA;52,544550699563;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"61";"1A";"Arab World";2014;52,5836028395011;100;NA;4,17001746695178;3,2780734203655;87,2753225116713;83,8975960063981;1,6946746158859;29,1181503995499;NA;NA;NA;96,4667054602442;93,891744876719;89,5030848360546;75,5121525358604;66,5440656390744;75,844182514412;292,44446030937;NA;52,110900333441;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"62";"1W";"World";1973;NA;NA;NA;NA;NA;NA;NA;NA;1,49241068373502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"63";"1W";"World";1971;NA;NA;NA;NA;NA;NA;NA;NA;1,04461546870307;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"64";"1W";"World";1972;NA;NA;NA;NA;NA;NA;NA;NA;1,0777139629355;NA;NA;NA;NA;NA;NA;NA;NA;NA;10840,9823399185;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"65";"1W";"World";1975;NA;NA;NA;NA;NA;NA;NA;NA;3,72658841007397;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"66";"1W";"World";1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13402,9348994302;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"67";"1W";"World";1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"68";"1W";"World";1974;NA;NA;NA;NA;NA;NA;NA;NA;4,05237788122035;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"69";"1W";"World";1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"70";"1W";"World";1970;NA;NA;NA;NA;NA;NA;NA;NA;1,07550426358883;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"71";"1W";"World";2010;50,2519855783175;95,1447871653434;6,05138595713899;17,2551919506048;19,5609975450815;83,3254954253019;56,0647703139958;30,869964085276;3,81417563416589;NA;NA;NA;95,8367214014292;95,8162568870372;81,4650679244866;71,5984408742688;48,494542747535;76,1326992564372;NA;66,4962600925462;37,0580178648678;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"72";"1W";"World";1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"73";"1W";"World";1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"74";"1W";"World";2013;47,9478122806085;93,7336074707049;NA;17,6990568614625;21,7103458442356;85,0716907515638;57,8454537768668;30,7946739562124;3,8952751728377;NA;NA;NA;96,2925952062907;96,0246169377405;82,6968197607314;74,2695916714543;52,7747890562852;78,2466977846112;NA;68,3462761948515;40,4294445466394;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"75";"1W";"World";2014;45,9442424612293;92,6672607959088;NA;17,8701840419389;22,4072584526013;85,5763215150999;58,3481705222955;30,7695680405394;3,35655853417454;NA;NA;NA;96,3712150110417;96,1123656865711;83,1248032935982;74,6604267628401;54,2579933711956;78,9902250109227;5931,02427947405;68,9426621254049;41,5764772185765;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"76";"1W";"World";2011;50,7710170766247;95,773480126846;5,92946418557627;17,2097710318662;19,9328250152084;82,1725501856054;56,6320782470605;30,8443891425701;5,00271674021523;NA;NA;NA;95,9766095119436;95,8660344318462;81,8424714983793;68,7239308518853;49,8339982314333;76,7775589375652;NA;67,129065802907;38,1650546779074;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"77";"1W";"World";2012;47,5330989513609;94,4741380392495;5,84244152994811;17,4762365885514;20,9015364054271;84,8325298752622;57,2427142055901;30,8198468330224;4,31305762739084;NA;NA;NA;96,2850482504813;95,943590710457;82,2662797875368;74,2457684116287;51,2856175357048;77,509821010407;6072,51411208303;67,7430493776516;39,2873058675073;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"78";"1W";"World";1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"79";"1W";"World";1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"80";"1W";"World";2015;47,2314968293743;92,5944601931637;NA;18,0537549929864;22,8544560815979;86,644110644611;58,8341391071405;30,7442644053976;1,9345718586584;NA;NA;NA;96,4616441929571;96,2151571767948;83,5444540234411;77,0419377292294;55,7318054223463;79,7055466321285;NA;69,5327386036433;42,7286019632161;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"81";"1W";"World";1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"82";"1W";"World";2008;NA;NA;6,052444704104;17,0350290849647;18,5547475858688;82,2362346906787;54,7521781536887;30,9226052199397;5,13791934833498;NA;NA;NA;95,630018085524;95,6721631772715;80,6444624270709;70,2487284914722;45,6008280616975;74,6560208141885;NA;65,198628639551;34,8508421176451;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"83";"1W";"World";2009;NA;NA;6,02681243254216;17,5116086035299;19,3341818218483;82,6804546408893;55,3224904522846;30,8967480813429;2,89015547628506;NA;NA;NA;95,7620888004209;95,7432054640498;81,0522665574095;71,1573344936657;47,048585927465;75,3937634855783;NA;65,8520336737661;35,9485099129092;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"84";"1W";"World";1983;NA;NA;NA;NA;NA;NA;NA;NA;3,59320407301911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"85";"1W";"World";1984;NA;NA;NA;NA;NA;NA;NA;NA;3,38927490382634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"86";"1W";"World";1985;NA;NA;NA;NA;NA;NA;NA;NA;3,12263784784537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"87";"1W";"World";1986;NA;NA;NA;NA;NA;NA;NA;NA;1,51625935614244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"88";"1W";"World";1987;NA;NA;NA;NA;NA;NA;NA;NA;1,78252598194331;NA;NA;NA;NA;NA;NA;NA;NA;NA;8228,62308584865;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"89";"1W";"World";1988;NA;NA;NA;NA;NA;NA;NA;NA;1,6939262431848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"90";"1W";"World";1976;NA;NA;NA;NA;NA;NA;NA;NA;3,96287166077973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"91";"1W";"World";1977;NA;NA;NA;NA;NA;NA;NA;NA;3,90653293650777;NA;NA;NA;NA;NA;NA;NA;NA;NA;9852,84521799772;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"92";"1W";"World";1978;NA;NA;NA;NA;NA;NA;NA;NA;3,29058133163386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"93";"1W";"World";1979;NA;NA;NA;NA;NA;NA;NA;NA;5,36853777549661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"94";"1W";"World";1980;NA;NA;NA;NA;NA;NA;NA;NA;6,13556310870775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"95";"1W";"World";1981;NA;NA;NA;NA;NA;NA;NA;NA;4,83207803697117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"96";"1W";"World";1982;NA;NA;NA;NA;NA;NA;NA;NA;3,48264034156211;NA;NA;NA;NA;NA;NA;NA;NA;NA;9002,39522185132;NA;NA;"WLD";"Aggregates";"";"";"";"Aggregates";"Aggregates"
